name,domain,category,description,aliases,keywords,popularity
Redshift,aws.amazon.com/redshift,Data,Amazon data warehouse,"[]","[""data warehouse"",""aws""]",88
Fivetran,fivetran.com,Data,Managed data pipelines,"[]","[""elt"",""pipelines""]",88
Stitch,stitchdata.com,Data,Data integration for analytics,"[]","[""elt"",""integration""]",76
Airbyte,airbyte.com,Data,Open-source data integration,"[]","[""elt"",""connectors""]",80
dbt,dbt.com,Data,Data transformation framework,"[""dbt Core"",""dbt Cloud""]","[""transformation"",""sql""]",86
Tableau,tableau.com,Analytics,Data visualization platform,"[]","[""bi"",""dashboards""]",94
Looker,looker.com,Analytics,BI and data exploration,"[]","[""bi"",""dashboards""]",90
Power BI,powerbi.microsoft.com,Analytics,Microsoft BI platform,"[]","[""bi"",""dashboards"",""microsoft""]",95
Qlik,qlik.com,Analytics,Analytics and BI platform,"[]","[""bi"",""analytics""]",80
Mixpanel,mixpanel.com,Analytics,Product analytics for apps,"[]","[""product analytics"",""events""]",88
Amplitude,amplitude.com,Analytics,Product analytics and growth,"[]","[""product analytics"",""funnels""]",86
Heap,heap.io,Analytics,Product analytics with auto-capture,"[]","[""product analytics"",""events""]",80
Hotjar,hotjar.com,Analytics,Heatmaps and session recordings,"[]","[""heatmaps"",""recordings""]",82
FullStory,fullstory.com,Analytics,Digital experience analytics,"[]","[""session replay"",""dx""]",84
Optimizely,optimizely.com,Analytics,Experimentation platform,"[]","[""ab testing"",""experiments""]",82
VWO,vwo.com,Analytics,Conversion optimization platform,"[]","[""ab testing"",""experiments""]",78
Shopify,shopify.com,Ecommerce,Ecommerce platform for online stores,"[]","[""ecommerce"",""storefront""]",96
Magento,magento.com,Ecommerce,Adobe commerce platform,"[""Adobe Commerce""]","[""ecommerce"",""storefront""]",84
BigCommerce,bigcommerce.com,Ecommerce,Open SaaS ecommerce platform,"[]","[""ecommerce"",""storefront""]",82
WooCommerce,woocommerce.com,Ecommerce,Ecommerce for WordPress,"[]","[""wordpress"",""storefront""]",80
Stripe,stripe.com,Finance,Online payments infrastructure,"[]","[""payments"",""billing""]",98
Adyen,adyen.com,Finance,Global payment processing,"[]","[""payments"",""pos""]",86
Braintree,braintreepayments.com,Finance,Payments processing by PayPal,"[]","[""payments"",""gateway""]",80
Chargebee,chargebee.com,Finance,Subscription billing and revenue,"[]","[""billing"",""subscriptions""]",86
Recurly,recurly.com,Finance,Subscription management and billing,"[]","[""billing"",""subscriptions""]",80
Zuora,zuora.com,Finance,Subscription billing and revenue operations,"[]","[""billing"",""subscriptions""]",84
QuickBooks Online,qbo.intuit.com,Finance,Accounting for SMBs,"[""QuickBooks"",""QBO""]","[""accounting"",""invoicing""]",90
Xero,xero.com,Finance,Cloud accounting software,"[]","[""accounting"",""invoicing""]",84
NetSuite,netsuite.com,ERP,Cloud ERP suite by Oracle,"[]","[""erp"",""finance""]",92
SAP S/4HANA,sap.com/products/s4hana.html,ERP,Enterprise ERP suite,"[""SAP""]","[""erp"",""enterprise""]",94
Oracle ERP Cloud,oracle.com/erp,ERP,Oracle cloud ERP,"[]","[""erp"",""oracle""]",88
Workday,workday.com,HR,HR and finance system,"[]","[""hris"",""payroll"",""erp""]",92
Greenhouse,greenhouse.io,HR,Applicant tracking system,"[]","[""ats"",""recruiting""]",86
Lever,lever.co,HR,Applicant tracking and recruiting,"[]","[""ats"",""recruiting""]",82
BambooHR,bamboohr.com,HR,HRIS for SMBs,"[]","[""hris"",""hr""]",84
Gusto,gusto.com,HR,Payroll and benefits,"[]","[""payroll"",""benefits""]",86
Rippling,rippling.com,HR,All-in-one HR and IT,"[]","[""hris"",""device management""]",88
Klaviyo,klaviyo.com,Marketing,Email and SMS marketing for ecommerce,"[]","[""email"",""sms"",""ecommerce""]",86
Mailchimp,mailchimp.com,Marketing,Email marketing platform,"[]","[""email"",""marketing""]",92
SendGrid,sendgrid.com,Comms,Transactional email service,"[]","[""email"",""smtp"",""api""]",90
Mailgun,mailgun.com,Comms,Email API service,"[]","[""email"",""api"",""smtp""]",82
Twilio,twilio.com,Comms,Programmable communications APIs,"[]","[""sms"",""voice"",""api""]",94
Segment,segment.com,Data,Customer data platform,"[]","[""cdp"",""tracking"",""events""]",90
Braze,braze.com,Marketing,Customer engagement platform,"[]","[""engagement"",""push"",""email""]",86
Iterable,iterable.com,Marketing,Marketing automation and messaging,"[]","[""engagement"",""campaigns""]",82
Hootsuite,hootsuite.com,Marketing,Social media management,"[]","[""social"",""scheduling""]",80
Buffer,buffer.com,Marketing,Social media scheduling,"[]","[""social"",""scheduling""]",76
Sprout Social,sproutsocial.com,Marketing,Social media management,"[]","[""social"",""analytics""]",78
Canva,canva.com,Marketing,Design tool for teams,"[]","[""design"",""graphics""]",88
Figma,figma.com,Development,Design and prototyping platform,"[]","[""design"",""prototype""]",94
Miro,miro.com,Knowledge,Online whiteboard collaboration,"[]","[""whiteboard"",""collaboration""]",92
Lucidchart,lucidchart.com,Knowledge,Diagramming and flowcharts,"[]","[""diagram"",""flowchart""]",86
Calendly,calendly.com,Sales,Scheduling meetings,"[]","[""calendar"",""meetings""]",88
DocuSign,docusign.com,Sales,E-signature and agreements,"[]","[""esign"",""contracts""]",92
HelloSign,hellosign.com,Sales,E-signatures by Dropbox,"[""Dropbox Sign""]","[""esign"",""contracts""]",82
Dropbox,dropbox.com,Knowledge,Cloud file storage and sharing,"[]","[""storage"",""files""]",90
Box,box.com,Knowledge,Content management and sharing,"[]","[""storage"",""files"",""content""]",86
Google Drive,drive.google.com,Knowledge,Cloud file storage by Google,"[]","[""storage"",""files"",""google""]",90
OneDrive,onedrive.live.com,Knowledge,Microsoft cloud file storage,"[]","[""storage"",""files"",""microsoft""]",88
SharePoint,sharepoint.com,Knowledge,Microsoft content and intranet,"[]","[""intranet"",""content"",""microsoft""]",86
Smartsheet,smartsheet.com,Project Management,Work management sheets,"[]","[""projects"",""sheets""]",80
Basecamp,basecamp.com,Project Management,Simple project management,"[]","[""pm"",""projects""]",74
Airtable,airtable.com,Ops/NoCode,Flexible database and apps,"[]","[""database"",""nocode""]",92
ClickUp,clickup.com,Project Management,Tasks, docs, goals in one,"[]","[""tasks"",""docs"",""goals""]",85
Workato,workato.com,Ops/NoCode,Enterprise automation platform,"[]","[""automation"",""integration""]",84
Mulesoft,mulesoft.com,Dev/IT,Enterprise integration platform,"[]","[""integration"",""api""]",86
Apigee,cloud.google.com/apigee,Dev/IT,API management by Google,"[]","[""api gateway"",""management""]",82
Kong,konghq.com,Dev/IT,Cloud-native API gateway,"[]","[""api"",""gateway""]",80
Tines,tines.com,Security,Security automation (SOAR),"[]","[""soar"",""automation""]",78
ThreatLocker,threatlocker.com,Security,Zero trust endpoint security,"[]","[""zero trust"",""endpoint""]",70
Netskope,netskope.com,Security,Cloud security platform,"[]","[""casb"",""sse"",""secure web""]",78
Zscaler,zscaler.com,Security,Zero trust network access,"[]","[""ztna"",""sase""]",82
GitGuardian,gitguardian.com,Security,Secrets scanning for code,"[]","[""secrets"",""scanning""]",76
Jamf,jamf.com,Dev/IT,Apple device management,"[]","[""mdm"",""apple""]",78
Intune,intune.microsoft.com,Dev/IT,Endpoint and device management,"[""Microsoft Intune""]","[""mdm"",""microsoft""]",84
Procore,procore.com,ERP,Construction management platform,"[]","[""construction"",""erp""]",70
Smartsheet Control Center,smartsheet.com/platform/control-center,Project Management,Portfolio management in Smartsheet,"[]","[""ppm"",""projects""]",68
Salesloft,salesloft.com,Sales,Sales engagement platform,"[]","[""sequencing"",""outreach""]",84
Outreach,outreach.io,Sales,Sales engagement and sequences,"[]","[""engagement"",""sequencing""]",86
Apollo,apollo.io,Sales,Prospecting and enrichment,"[""Apollo.io""]","[""prospecting"",""data""]",82
Close CRM,close.com,Sales,Inside sales CRM,"[]","[""crm"",""calling""]",78
Freshsales,freshworks.com/crm,Sales,CRM by Freshworks,"[]","[""crm"",""sales""]",76
Pendo,pendo.io,Analytics,Product experience analytics,"[]","[""px"",""guides"",""analytics""]",78
WalkMe,walkme.com,Analytics,Digital adoption platform,"[]","[""dap"",""guidance""]",74
Gainsight,gainsight.com,Service,Customer success platform,"[]","[""cs"",""success""]",80
ChurnZero,churnzero.com,Service,Customer success for SaaS,"[]","[""cs"",""success""]",74
Gong,gong.io,Sales,Revenue intelligence,"[]","[""call recording"",""analytics""]",80
Clari,clari.com,Sales,Revenue forecasting,"[]","[""forecasting"",""revenue""]",76
